Street , Type, Room, Occupants,Appliance,Floor,Occupancy,Summer,Winter
Ellendale , Apartment, 2, 5, 5, 0, 94,117, 140.4
Orchard , Apartment, 2, 6, 5, 1, 103,198, 118.8
Vermont , Bungalow, 2, 5, 6, 0, 88,116, 139.2
Ellendale , Apartment, 2, 5, 4, 1, 103,295.5, 177.3
Vermont , Apartment, 3, 4, 8, 1, 105,259.5, 155.7
TwentyThird , Apartment, 2, 6, 5, 0, 91,126, 151.2
Ellendale , Bungalow, 2, 6, 5, 1, 92,214.5, 128.7
Jefferson , Bungalow, 3, 3, 7, 1, 97,297, 178.2
TwentyThird , Bungalow, 1, 2, 4, 1, 94,295.5, 177.3
Ellendale , Bungalow, 2, 5, 5, 1, 85,249, 149.4
Adams , Apartment, 3, 3, 7, 0, 105,198, 237.6
ThirtyWest , Bungalow, 2, 6, 5, 0, 99,154, 184.8
Hoover , Apartment, 3, 5, 8, 0, 97,112, 134.4
Adams , Apartment, 2, 4, 5, 1, 99,249, 149.4
Ellendale , Apartment, 1, 2, 3, 0, 93,112, 134.4
Menlo , Apartment, 1, 1, 4, 1, 99,189, 113.4
Orchard , Bungalow, 3, 4, 7, 1, 103,256.5, 153.9
Figueroa , Bungalow, 1, 1, 3, 1, 103,217.5, 130.5
Figueroa , Apartment, 2, 4, 5, 1, 105,271.5, 162.9
TwentyThird , Bungalow, 2, 3, 4, 0, 99,154, 184.8
ThirtyWest , Apartment, 3, 6, 8, 1, 86,217.5, 130.5
Vermont , Bungalow, 3, 3, 8, 0, 92,168, 201.6
Vermont , Bungalow, 3, 5, 6, 0, 89,119, 142.8
TwentyThird , Bungalow, 2, 3, 4, 1, 96,262.5, 157.5
Adams , Apartment, 3, 6, 7, 0, 94,191, 229.2
Figueroa , Apartment, 3, 3, 7, 1, 87,225, 135
ThirtyWest , Apartment, 1, 1, 3, 1, 87,213, 127.8
Ellendale , Apartment, 2, 4, 4, 1, 95,219, 131.4
Jefferson , Bungalow, 2, 4, 4, 0, 85,132, 158.4
Hoover , Bungalow, 1, 2, 3, 1, 97,165, 99
Adams , Bungalow, 3, 3, 6, 0, 88,176, 211.2
Ellendale , Bungalow, 2, 4, 4, 1, 92,198, 118.8
Ellendale , Bungalow, 1, 1, 2, 1, 102,186, 111.6
Hoover , Bungalow, 2, 5, 5, 1, 93,163.5, 98.1
Hoover , Bungalow, 2, 3, 6, 1, 100,258, 154.8
Figueroa , Apartment, 2, 3, 4, 0, 91,102, 122.4
Hoover , Apartment, 1, 2, 3, 0, 104,131, 157.2
ThirtyWest , Apartment, 1, 2, 3, 1, 86,168, 100.8
Vermont , Apartment, 2, 3, 4, 0, 85,167, 200.4
Orchard , Apartment, 2, 4, 4, 1, 98,274.5, 164.7
Ellendale , Apartment, 1, 2, 3, 0, 87,175, 210
Jefferson , Bungalow, 2, 6, 4, 0, 99,143, 171.6
Figueroa , Bungalow, 1, 1, 4, 1, 90,210, 126
Figueroa , Apartment, 1, 1, 2, 0, 97,119, 142.8
Vermont , Apartment, 2, 6, 5, 1, 94,177, 106.2
Orchard , Bungalow, 1, 1, 3, 1, 93,270, 162
Jefferson , Apartment, 3, 5, 8, 0, 104,120, 144
Adams , Apartment, 2, 4, 5, 0, 89,108, 129.6
Hoover , Apartment, 2, 4, 5, 0, 90,104, 124.8
Orchard , Apartment, 3, 4, 6, 1, 96,175.5, 105.3
TwentyThird , Bungalow, 2, 5, 4, 0, 100,187, 224.4
Menlo , Apartment, 2, 6, 4, 1, 96,189, 113.4
ThirtyWest , Apartment, 1, 1, 2, 0, 89,134, 160.8
Menlo , Apartment, 2, 6, 4, 1, 89,277.5, 166.5
Vermont , Bungalow, 3, 4, 7, 1, 104,172.5, 103.5
Ellendale , Apartment, 1, 1, 2, 1, 99,184.5, 110.7
Figueroa , Apartment, 1, 1, 3, 0, 103,199, 238.8
TwentyThird , Apartment, 2, 4, 6, 0, 103,132, 158.4
ThirtyWest , Apartment, 1, 2, 3, 1, 87,198, 118.8
Figueroa , Apartment, 3, 4, 8, 1, 91,195, 117
Hoover , Bungalow, 2, 4, 5, 0, 92,153, 183.6
Adams , Bungalow, 3, 4, 7, 0, 97,161, 193.2
ThirtyWest , Bungalow, 3, 6, 7, 1, 97,151.5, 90.9
TwentyThird , Bungalow, 3, 4, 8, 0, 101,122, 146.4
Orchard , Bungalow, 2, 4, 4, 0, 87,145, 174
Figueroa , Apartment, 1, 1, 4, 0, 98,134, 160.8
Figueroa , Apartment, 2, 5, 6, 1, 91,181.5, 108.9
ThirtyWest , Apartment, 2, 6, 6, 1, 105,282, 169.2
Vermont , Apartment, 3, 6, 7, 0, 85,178, 213.6
Ellendale , Apartment, 2, 3, 6, 0, 91,126, 151.2
ThirtyWest , Apartment, 3, 6, 6, 0, 105,158, 189.6
Orchard , Apartment, 1, 1, 2, 1, 96,250.5, 150.3
Adams , Apartment, 1, 2, 4, 0, 85,142, 170.4
Orchard , Apartment, 2, 5, 6, 0, 90,152, 182.4
Figueroa , Bungalow, 1, 1, 4, 1, 86,276, 165.6
Vermont , Apartment, 1, 2, 4, 0, 88,191, 229.2
Menlo , Apartment, 2, 4, 4, 1, 93,246, 147.6
ThirtyWest , Bungalow, 3, 6, 6, 0, 103,134, 160.8
Orchard , Bungalow, 2, 4, 6, 1, 103,244.5, 146.7
Ellendale , Bungalow, 2, 4, 4, 0, 104,187, 224.4
ThirtyWest , Bungalow, 3, 6, 7, 0, 103,135, 162
Menlo , Apartment, 3, 6, 7, 1, 99,232.5, 139.5
Figueroa , Apartment, 2, 6, 5, 0, 95,125, 150
Orchard , Bungalow, 3, 6, 7, 0, 98,188, 225.6
Jefferson , Bungalow, 1, 2, 2, 0, 96,160, 192
Adams , Bungalow, 2, 4, 4, 1, 90,214.5, 128.7
Adams , Apartment, 3, 5, 8, 1, 105,151.5, 90.9
Orchard , Apartment, 2, 4, 4, 0, 99,108, 129.6
ThirtyWest , Bungalow, 2, 5, 6, 1, 89,256.5, 153.9
Figueroa , Bungalow, 2, 5, 4, 0, 92,143, 171.6
ThirtyWest , Bungalow, 1, 1, 4, 0, 89,142, 170.4
Figueroa , Apartment, 2, 6, 4, 0, 94,124, 148.8
Adams , Apartment, 3, 5, 6, 1, 86,270, 162
Ellendale , Apartment, 1, 1, 2, 0, 96,120, 144
Orchard , Apartment, 3, 6, 6, 1, 104,286.5, 171.9
Figueroa , Bungalow, 3, 6, 7, 1, 93,169.5, 101.7
ThirtyWest , Bungalow, 3, 3, 6, 1, 93,271.5, 162.9
Menlo , Apartment, 3, 4, 8, 0, 105,155, 186
ThirtyWest , Bungalow, 2, 3, 5, 1, 98,234, 140.4
Ellendale , Apartment, 2, 4, 4, 1, 100,166.5, 99.9
ThirtyWest , Apartment, 3, 3, 8, 0, 95,200, 240
Adams , Apartment, 3, 4, 7, 0, 85,161, 193.2
ThirtyWest , Bungalow, 3, 6, 8, 0, 102,126, 151.2
Menlo , Bungalow, 1, 2, 3, 0, 101,117, 140.4
Jefferson , Bungalow, 3, 6, 7, 0, 90,191, 229.2
Menlo , Bungalow, 3, 6, 8, 0, 96,104, 124.8
Jefferson , Bungalow, 3, 3, 7, 0, 98,185, 222
ThirtyWest , Bungalow, 2, 5, 5, 1, 102,177, 106.2
Menlo , Bungalow, 2, 4, 4, 0, 92,177, 212.4
Jefferson , Apartment, 2, 3, 4, 1, 92,207, 124.2
Jefferson , Apartment, 1, 1, 3, 1, 104,250.5, 150.3
Ellendale , Apartment, 2, 6, 6, 1, 95,256.5, 153.9
Adams , Bungalow, 1, 1, 2, 0, 91,150, 180
Adams , Bungalow, 1, 1, 4, 1, 85,213, 127.8
TwentyThird , Bungalow, 1, 2, 2, 0, 88,126, 151.2
Figueroa , Apartment, 2, 5, 6, 0, 88,188, 225.6
Menlo , Apartment, 2, 4, 5, 1, 85,295.5, 177.3
Menlo , Apartment, 3, 6, 8, 0, 90,178, 213.6
Menlo , Apartment, 2, 5, 5, 0, 94,131, 157.2
ThirtyWest , Bungalow, 1, 2, 4, 0, 96,193, 231.6
Hoover , Apartment, 3, 3, 6, 0, 99,196, 235.2
Jefferson , Bungalow, 1, 1, 3, 1, 97,214.5, 128.7
Vermont , Bungalow, 1, 1, 4, 1, 92,264, 158.4
Vermont , Bungalow, 2, 3, 4, 1, 86,268.5, 161.1
Menlo , Apartment, 2, 4, 5, 0, 94,140, 168
Orchard , Apartment, 1, 1, 4, 1, 86,231, 138.6
Menlo , Apartment, 2, 5, 6, 1, 102,187.5, 112.5
TwentyThird , Apartment, 1, 1, 4, 1, 102,189, 113.4
Adams , Apartment, 3, 4, 6, 1, 103,193.5, 116.1
Hoover , Apartment, 3, 4, 6, 0, 104,113, 135.6
Figueroa , Apartment, 2, 3, 5, 1, 85,246, 147.6
Jefferson , Apartment, 3, 5, 6, 0, 90,136, 163.2
Jefferson , Apartment, 1, 2, 4, 1, 91,274.5, 164.7
Ellendale , Apartment, 2, 4, 5, 0, 85,115, 138
TwentyThird , Apartment, 2, 5, 5, 0, 89,194, 232.8
Hoover , Bungalow, 1, 2, 4, 1, 88,172.5, 103.5
Orchard , Bungalow, 2, 4, 5, 1, 93,192, 115.2
Vermont , Bungalow, 3, 3, 7, 0, 87,131, 157.2
Hoover , Bungalow, 3, 6, 7, 1, 102,180, 108
Adams , Bungalow, 3, 3, 7, 1, 101,270, 162
Hoover , Bungalow, 2, 5, 4, 1, 91,166.5, 99.9
Hoover , Bungalow, 2, 5, 5, 0, 88,134, 160.8
Jefferson , Bungalow, 2, 3, 5, 0, 105,198, 237.6
Orchard , Bungalow, 2, 5, 4, 0, 105,111, 133.2
Figueroa , Bungalow, 3, 3, 7, 0, 98,178, 213.6
ThirtyWest , Apartment, 1, 1, 4, 0, 89,105, 126
Adams , Apartment, 1, 1, 2, 1, 96,243, 145.8
TwentyThird , Bungalow, 1, 2, 3, 1, 92,187.5, 112.5
ThirtyWest , Apartment, 1, 2, 2, 0, 105,174, 208.8
Vermont , Apartment, 1, 1, 4, 1, 93,265.5, 159.3
Hoover , Bungalow, 2, 3, 5, 1, 103,174, 104.4
Adams , Bungalow, 2, 3, 4, 1, 86,151.5, 90.9
Figueroa , Apartment, 3, 6, 7, 1, 93,190.5, 114.3
ThirtyWest , Apartment, 1, 2, 4, 1, 99,240, 144
Menlo , Apartment, 1, 2, 4, 1, 99,168, 100.8
Ellendale , Apartment, 1, 2, 3, 0, 102,121, 145.2
TwentyThird , Apartment, 2, 6, 6, 1, 92,214.5, 128.7
Hoover , Bungalow, 2, 6, 5, 1, 96,156, 93.6
Vermont , Bungalow, 3, 5, 8, 1, 102,262.5, 157.5
Adams , Apartment, 2, 4, 4, 1, 103,249, 149.4
Hoover , Apartment, 1, 1, 2, 0, 105,177, 212.4
Hoover , Apartment, 2, 4, 5, 1, 94,222, 133.2
Menlo , Apartment, 2, 3, 4, 0, 86,132, 158.4
TwentyThird , Apartment, 2, 5, 6, 0, 99,122, 146.4
Menlo , Apartment, 3, 5, 7, 0, 89,121, 145.2
Jefferson , Apartment, 3, 5, 7, 0, 87,196, 235.2
Hoover , Apartment, 2, 3, 6, 0, 104,189, 226.8
Ellendale , Bungalow, 2, 5, 6, 1, 98,232.5, 139.5
ThirtyWest , Bungalow, 3, 4, 7, 1, 92,273, 163.8
TwentyThird , Apartment, 2, 5, 4, 1, 105,280.5, 168.3
Jefferson , Apartment, 1, 1, 2, 1, 91,289.5, 173.7
TwentyThird , Bungalow, 3, 5, 8, 0, 89,178, 213.6
Menlo , Bungalow, 1, 1, 4, 0, 89,153, 183.6
Figueroa , Apartment, 3, 3, 7, 0, 85,196, 235.2
Jefferson , Bungalow, 3, 5, 8, 1, 94,229.5, 137.7
Hoover , Apartment, 2, 4, 6, 1, 105,295.5, 177.3
Hoover , Bungalow, 2, 4, 4, 0, 102,188, 225.6
Vermont , Bungalow, 1, 2, 2, 1, 101,175.5, 105.3
Menlo , Apartment, 1, 1, 3, 1, 96,235.5, 141.3
Hoover , Bungalow, 2, 6, 6, 1, 98,225, 135
Hoover , Bungalow, 2, 6, 4, 0, 104,172, 206.4
Orchard , Apartment, 3, 4, 6, 1, 92,283.5, 170.1
Figueroa , Bungalow, 3, 3, 8, 1, 94,196.5, 117.9
Menlo , Apartment, 3, 5, 8, 0, 100,122, 146.4
Hoover , Apartment, 2, 3, 4, 0, 93,186, 223.2
Ellendale , Apartment, 1, 2, 4, 0, 102,194, 232.8
Orchard , Apartment, 2, 4, 4, 1, 97,150, 90
Orchard , Apartment, 2, 3, 6, 1, 98,234, 140.4
Orchard , Bungalow, 2, 4, 5, 1, 89,262.5, 157.5
Ellendale , Bungalow, 2, 3, 4, 0, 86,200, 240
ThirtyWest , Bungalow, 2, 3, 6, 0, 92,193, 231.6
Orchard , Bungalow, 2, 4, 4, 0, 91,127, 152.4
Menlo , Apartment, 2, 5, 4, 0, 91,100, 120
Jefferson , Apartment, 2, 5, 5, 0, 101,190, 228
Vermont , Apartment, 2, 5, 4, 1, 87,217.5, 130.5
ThirtyWest , Bungalow, 3, 3, 7, 0, 103,135, 162
Ellendale , Bungalow, 1, 1, 3, 1, 101,168, 100.8
Adams , Apartment, 3, 5, 7, 1, 88,171, 102.6
Vermont , Apartment, 2, 3, 4, 0, 101,155, 186
TwentyThird , Bungalow, 3, 6, 6, 1, 95,216, 129.6
ThirtyWest , Bungalow, 2, 3, 4, 1, 97,288, 172.8
Ellendale , Bungalow, 1, 2, 4, 1, 100,208.5, 125.1
TwentyThird , Bungalow, 2, 4, 6, 1, 93,189, 113.4
Ellendale , Bungalow, 1, 2, 2, 1, 88,213, 127.8
Adams , Bungalow, 1, 2, 3, 1, 88,171, 102.6
Jefferson , Bungalow, 2, 6, 4, 0, 97,126, 151.2
Menlo , Apartment, 2, 5, 5, 1, 105,250.5, 150.3
Orchard , Bungalow, 3, 4, 8, 1, 97,229.5, 137.7
Figueroa , Bungalow, 1, 2, 4, 1, 92,288, 172.8
ThirtyWest , Bungalow, 1, 2, 3, 0, 105,195, 234
Hoover , Bungalow, 2, 4, 4, 1, 105,273, 163.8
Jefferson , Apartment, 1, 1, 3, 1, 96,246, 147.6
Ellendale , Apartment, 1, 2, 3, 1, 99,193.5, 116.1
ThirtyWest , Apartment, 3, 6, 6, 1, 90,175.5, 105.3
Ellendale , Apartment, 2, 3, 6, 1, 85,163.5, 98.1
TwentyThird , Apartment, 3, 5, 6, 1, 103,162, 97.2
Orchard , Bungalow, 2, 3, 4, 1, 100,240, 144
Jefferson , Bungalow, 1, 1, 2, 0, 93,112, 134.4
Vermont , Apartment, 2, 3, 6, 0, 97,165, 198
Jefferson , Apartment, 2, 6, 5, 1, 103,243, 145.8
ThirtyWest , Bungalow, 1, 2, 2, 1, 105,300, 180
Ellendale , Bungalow, 3, 5, 8, 1, 93,225, 135
Orchard , Bungalow, 3, 6, 8, 1, 96,177, 106.2
Figueroa , Bungalow, 2, 4, 4, 0, 101,194, 232.8
Menlo , Bungalow, 1, 1, 3, 1, 95,256.5, 153.9
Orchard , Bungalow, 1, 1, 2, 1, 96,249, 149.4
Menlo , Bungalow, 1, 1, 4, 1, 101,276, 165.6
Menlo , Apartment, 1, 1, 2, 1, 91,205.5, 123.3
Vermont , Apartment, 1, 1, 4, 0, 93,156, 187.2
Ellendale , Bungalow, 2, 4, 5, 1, 101,288, 172.8
Figueroa , Bungalow, 1, 1, 3, 1, 101,211.5, 126.9
Jefferson , Bungalow, 3, 4, 6, 0, 91,104, 124.8
Adams , Bungalow, 3, 6, 6, 0, 103,116, 139.2
Hoover , Bungalow, 1, 1, 2, 1, 97,273, 163.8
Orchard , Bungalow, 2, 6, 5, 0, 90,168, 201.6
Figueroa , Bungalow, 3, 4, 7, 0, 96,126, 151.2
Menlo , Apartment, 2, 4, 6, 1, 90,205.5, 123.3
Adams , Apartment, 3, 6, 7, 0, 104,167, 200.4
ThirtyWest , Apartment, 2, 6, 5, 0, 97,109, 130.8
Menlo , Apartment, 1, 1, 2, 1, 96,219, 131.4
Jefferson , Apartment, 2, 3, 6, 1, 93,213, 127.8
Vermont , Bungalow, 2, 6, 6, 1, 104,298.5, 179.1
Orchard , Bungalow, 3, 3, 7, 0, 98,153, 183.6
Vermont , Bungalow, 3, 5, 7, 0, 100,118, 141.6
Hoover , Bungalow, 2, 3, 4, 0, 92,134, 160.8
Ellendale , Bungalow, 3, 6, 6, 0, 100,125, 150
Jefferson , Bungalow, 1, 1, 4, 1, 104,216, 129.6
Figueroa , Bungalow, 3, 5, 6, 1, 95,261, 156.6
Menlo , Bungalow, 3, 6, 6, 1, 89,154.5, 92.7
Jefferson , Bungalow, 2, 3, 4, 1, 99,231, 138.6
ThirtyWest , Apartment, 1, 1, 4, 0, 98,200, 240
Figueroa , Bungalow, 2, 3, 6, 0, 90,194, 232.8
Adams , Apartment, 3, 6, 8, 0, 86,162, 194.4
Jefferson , Apartment, 2, 4, 5, 1, 105,219, 131.4
ThirtyWest , Bungalow, 1, 2, 3, 1, 97,267, 160.2
ThirtyWest , Bungalow, 2, 4, 4, 0, 88,138, 165.6
ThirtyWest , Apartment, 1, 1, 4, 0, 96,149, 178.8
Orchard , Apartment, 2, 6, 6, 1, 97,297, 178.2
Vermont , Apartment, 2, 5, 4, 1, 91,192, 115.2
TwentyThird , Bungalow, 3, 6, 7, 0, 87,194, 232.8
Vermont , Bungalow, 2, 5, 5, 1, 89,235.5, 141.3
Orchard , Bungalow, 1, 1, 4, 0, 100,157, 188.4
ThirtyWest , Bungalow, 2, 6, 5, 0, 86,110, 132
Figueroa , Bungalow, 2, 5, 5, 1, 103,253.5, 152.1
Vermont , Bungalow, 3, 5, 6, 1, 95,196.5, 117.9
Figueroa , Bungalow, 2, 3, 4, 0, 91,123, 147.6
Vermont , Apartment, 1, 2, 3, 1, 98,282, 169.2
Vermont , Apartment, 1, 1, 3, 1, 88,168, 100.8
Vermont , Bungalow, 3, 5, 6, 1, 96,291, 174.6
ThirtyWest , Bungalow, 2, 3, 6, 0, 89,185, 222
Adams , Apartment, 1, 1, 2, 1, 100,279, 167.4
Orchard , Apartment, 3, 3, 7, 0, 104,180, 216
Hoover , Apartment, 3, 6, 6, 1, 103,201, 120.6
Menlo , Apartment, 1, 2, 2, 0, 97,135, 162
Ellendale , Apartment, 1, 2, 3, 1, 91,208.5, 125.1
Figueroa , Apartment, 3, 4, 8, 0, 86,116, 139.2
ThirtyWest , Apartment, 3, 5, 8, 0, 93,131, 157.2
TwentyThird , Apartment, 2, 3, 4, 1, 100,193.5, 116.1
Adams , Bungalow, 2, 6, 6, 1, 90,283.5, 170.1
Hoover , Bungalow, 3, 4, 7, 0, 93,199, 238.8
Hoover , Bungalow, 2, 3, 4, 0, 100,136, 163.2
Vermont , Bungalow, 3, 6, 8, 0, 87,127, 152.4
Ellendale , Bungalow, 3, 4, 7, 0, 100,175, 210
Menlo , Apartment, 1, 2, 2, 0, 105,183, 219.6
Jefferson , Apartment, 2, 4, 4, 0, 96,187, 224.4
Ellendale , Bungalow, 2, 6, 6, 1, 105,241.5, 144.9
Hoover , Bungalow, 1, 1, 4, 0, 93,178, 213.6
Vermont , Bungalow, 2, 5, 4, 1, 88,178.5, 107.1
TwentyThird , Apartment, 1, 2, 4, 0, 95,189, 226.8
Menlo , Bungalow, 1, 2, 4, 0, 89,100, 120
Jefferson , Apartment, 3, 4, 6, 0, 91,157, 188.4
Menlo , Bungalow, 3, 6, 7, 1, 87,255, 153
Menlo , Apartment, 2, 5, 4, 1, 87,186, 111.6
ThirtyWest , Bungalow, 3, 4, 7, 0, 97,143, 171.6
Ellendale , Apartment, 2, 6, 6, 1, 101,199.5, 119.7
Hoover , Apartment, 1, 2, 2, 0, 89,187, 224.4
Figueroa , Apartment, 1, 1, 2, 0, 85,127, 152.4
Figueroa , Apartment, 3, 5, 7, 0, 90,196, 235.2
Menlo , Apartment, 3, 6, 7, 0, 88,178, 213.6
Vermont , Apartment, 1, 2, 3, 1, 100,157.5, 94.5
TwentyThird , Bungalow, 1, 1, 2, 1, 90,276, 165.6
ThirtyWest , Bungalow, 3, 5, 8, 1, 102,276, 165.6
Ellendale , Apartment, 2, 5, 4, 0, 86,134, 160.8
ThirtyWest , Apartment, 2, 3, 5, 1, 94,292.5, 175.5
ThirtyWest , Apartment, 1, 2, 3, 1, 91,156, 93.6
Adams , Apartment, 2, 3, 5, 0, 100,155, 186
Hoover , Apartment, 3, 6, 7, 1, 102,228, 136.8
Jefferson , Bungalow, 3, 5, 8, 0, 94,111, 133.2
Menlo , Bungalow, 1, 2, 2, 0, 97,120, 144
Menlo , Bungalow, 3, 6, 8, 1, 100,159, 95.4
Menlo , Bungalow, 1, 2, 3, 0, 97,159, 190.8
Ellendale , Apartment, 2, 3, 6, 0, 89,123, 147.6
Jefferson , Bungalow, 1, 2, 4, 1, 105,219, 131.4
Ellendale , Bungalow, 2, 4, 6, 0, 88,108, 129.6
Jefferson , Apartment, 1, 2, 2, 1, 88,198, 118.8
Orchard , Apartment, 2, 3, 6, 1, 95,205.5, 123.3
Vermont , Bungalow, 3, 5, 7, 0, 85,174, 208.8
Menlo , Apartment, 3, 5, 6, 0, 90,151, 181.2
Ellendale , Bungalow, 1, 2, 4, 1, 101,174, 104.4
Ellendale , Bungalow, 2, 4, 4, 0, 98,187, 224.4
Hoover , Apartment, 2, 4, 4, 1, 97,198, 118.8
Adams , Bungalow, 2, 6, 5, 1, 104,277.5, 166.5
Orchard , Bungalow, 2, 6, 5, 1, 104,216, 129.6
Jefferson , Bungalow, 2, 5, 4, 1, 97,198, 118.8
Figueroa , Apartment, 2, 6, 4, 0, 104,171, 205.2
Figueroa , Bungalow, 2, 5, 4, 0, 104,193, 231.6
Jefferson , Bungalow, 2, 5, 4, 0, 89,193, 231.6
Ellendale , Bungalow, 1, 1, 4, 0, 100,118, 141.6
Orchard , Bungalow, 2, 6, 5, 1, 96,168, 100.8
Ellendale , Bungalow, 1, 1, 3, 1, 91,220.5, 132.3
Orchard , Bungalow, 3, 5, 7, 0, 87,153, 183.6
ThirtyWest , Bungalow, 3, 6, 6, 1, 103,208.5, 125.1
Figueroa , Apartment, 3, 6, 7, 1, 98,207, 124.2
Ellendale , Apartment, 1, 2, 2, 1, 92,297, 178.2
TwentyThird , Bungalow, 1, 1, 2, 0, 102,130, 156
Menlo , Bungalow, 2, 5, 5, 0, 90,172, 206.4
Hoover , Bungalow, 3, 5, 7, 1, 102,195, 117
Hoover , Bungalow, 2, 4, 4, 0, 104,154, 184.8
ThirtyWest , Bungalow, 3, 6, 6, 1, 103,231, 138.6
ThirtyWest , Bungalow, 2, 5, 5, 0, 85,107, 128.4
Vermont , Apartment, 2, 4, 4, 1, 102,226.5, 135.9
Vermont , Apartment, 3, 4, 8, 0, 99,190, 228
Ellendale , Apartment, 2, 6, 6, 1, 89,193.5, 116.1
TwentyThird , Bungalow, 2, 6, 4, 1, 90,231, 138.6
Menlo , Bungalow, 1, 2, 3, 1, 97,279, 167.4
Menlo , Bungalow, 1, 1, 2, 1, 95,219, 131.4
Menlo , Bungalow, 3, 4, 7, 0, 95,184, 220.8
Menlo , Bungalow, 2, 5, 6, 1, 101,207, 124.2
Vermont , Apartment, 2, 5, 6, 0, 96,106, 127.2
Ellendale , Bungalow, 1, 1, 3, 0, 94,154, 184.8
ThirtyWest , Apartment, 1, 1, 4, 1, 93,258, 154.8
Hoover , Apartment, 2, 3, 5, 0, 92,177, 212.4
TwentyThird , Apartment, 3, 5, 8, 0, 90,117, 140.4
Ellendale , Apartment, 2, 5, 4, 0, 98,156, 187.2
Ellendale , Bungalow, 1, 2, 4, 1, 101,243, 145.8
TwentyThird , Apartment, 3, 3, 6, 1, 99,223.5, 134.1
Orchard , Bungalow, 2, 4, 4, 0, 88,112, 134.4
Adams , Bungalow, 3, 3, 7, 0, 90,155, 186
Orchard , Bungalow, 2, 6, 6, 1, 102,271.5, 162.9
Orchard , Bungalow, 3, 4, 7, 1, 105,207, 124.2
Hoover , Bungalow, 2, 6, 4, 1, 96,165, 99
Adams , Bungalow, 1, 1, 3, 0, 105,147, 176.4
Adams , Apartment, 2, 6, 4, 0, 95,152, 182.4
Menlo , Bungalow, 2, 3, 6, 1, 85,258, 154.8
Jefferson , Bungalow, 1, 1, 2, 1, 104,169.5, 101.7
Orchard , Bungalow, 1, 1, 2, 0, 98,193, 231.6
Jefferson , Apartment, 1, 1, 4, 1, 92,277.5, 166.5
TwentyThird , Apartment, 2, 4, 6, 1, 85,193.5, 116.1
TwentyThird , Apartment, 3, 4, 7, 1, 93,193.5, 116.1
Orchard , Apartment, 2, 3, 6, 1, 97,256.5, 153.9
Vermont , Apartment, 2, 4, 4, 0, 89,155, 186
ThirtyWest , Apartment, 1, 1, 4, 1, 105,241.5, 144.9
Figueroa , Apartment, 3, 3, 7, 1, 96,198, 118.8
Vermont , Apartment, 2, 5, 4, 1, 105,253.5, 152.1
Hoover , Apartment, 3, 5, 7, 1, 103,199.5, 119.7
ThirtyWest , Apartment, 2, 6, 6, 1, 97,238.5, 143.1
Vermont , Apartment, 2, 6, 5, 0, 88,176, 211.2
Menlo , Bungalow, 1, 1, 3, 1, 100,232.5, 139.5
Adams , Bungalow, 3, 6, 8, 0, 95,118, 141.6
Ellendale , Bungalow, 3, 3, 7, 1, 86,217.5, 130.5
TwentyThird , Bungalow, 1, 2, 2, 0, 102,145, 174
Orchard , Bungalow, 3, 4, 7, 1, 100,283.5, 170.1
TwentyThird , Bungalow, 3, 5, 6, 1, 101,166.5, 99.9
ThirtyWest , Bungalow, 2, 4, 6, 0, 88,114, 136.8
Adams , Bungalow, 2, 3, 4, 1, 86,255, 153
ThirtyWest , Bungalow, 1, 1, 3, 0, 96,114, 136.8
Adams , Bungalow, 2, 6, 5, 0, 105,183, 219.6
Jefferson , Apartment, 2, 4, 5, 0, 85,189, 226.8
Ellendale , Apartment, 1, 1, 3, 1, 87,256.5, 153.9
Hoover , Bungalow, 3, 5, 7, 1, 87,279, 167.4
Vermont , Bungalow, 1, 2, 4, 0, 87,199, 238.8
TwentyThird , Bungalow, 1, 1, 4, 1, 102,202.5, 121.5
Hoover , Bungalow, 2, 5, 6, 0, 105,163, 195.6
Menlo , Bungalow, 1, 1, 4, 0, 92,186, 223.2
Vermont , Bungalow, 3, 3, 6, 1, 85,202.5, 121.5
Jefferson , Bungalow, 1, 1, 2, 1, 97,279, 167.4
Adams , Bungalow, 2, 5, 4, 1, 94,297, 178.2
Adams , Bungalow, 3, 3, 8, 0, 98,168, 201.6
Figueroa , Bungalow, 1, 2, 3, 0, 97,144, 172.8
Jefferson , Apartment, 1, 1, 4, 1, 105,186, 111.6
Orchard , Bungalow, 3, 5, 6, 1, 96,246, 147.6
Adams , Bungalow, 2, 6, 6, 0, 85,192, 230.4
Ellendale , Bungalow, 2, 4, 5, 0, 97,110, 132
Figueroa , Bungalow, 2, 5, 4, 0, 99,178, 213.6
Vermont , Bungalow, 3, 6, 7, 1, 89,183, 109.8
Vermont , Bungalow, 3, 3, 8, 0, 93,191, 229.2
TwentyThird , Bungalow, 3, 5, 6, 0, 86,167, 200.4
Hoover , Apartment, 3, 5, 7, 0, 87,172, 206.4
Adams , Apartment, 1, 2, 3, 0, 89,102, 122.4
Ellendale , Bungalow, 1, 1, 2, 1, 97,184.5, 110.7
Figueroa , Bungalow, 1, 1, 4, 1, 88,294, 176.4
Jefferson , Bungalow, 1, 2, 2, 0, 86,194, 232.8
Jefferson , Bungalow, 2, 6, 4, 1, 86,190.5, 114.3
Menlo , Apartment, 3, 4, 6, 1, 88,238.5, 143.1
TwentyThird , Bungalow, 1, 1, 2, 1, 90,276, 165.6
Ellendale , Bungalow, 2, 3, 6, 0, 102,113, 135.6
